PATH,PROGRAMA,RESOLUCION,IMAGEN_FONDO,TITULO_A_OBTENER,DOBLE_TITULACION,DESCRIPCION,META_DESCRIPCION,MODALIDAD,TIPO,DURACION,URL_SITIOWEB,URL_BROCHURE,PIXEL_GTM,title
finanzas,Finanzas,RPC-SO-22-No.371-2019RPC-SO-22-No. 468-2020,/informacion/grado/finanzas/images/background.jpg,Licenciado en Finanzas,,"La Licenciatura en Finanzas es una carrera moderna que integra una malla completa y dinámica de asignaturas, ajustada a las necesidades financieras del mundo actual. Su estructura microcurricular se encuentra enfocada en los temas de las principales certificaciones demandadas a nivel internacional.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/finanzas-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/FINANZAS.pdf,GTM-58CRP56,Finanzas
gestion-ambiental,Gestion Ambiental,RPC-SO-27-No.450-2023,/informacion/grado/gestion-ambiental/images/background.jpg,Licenciado en Gestión Ambiental,,"Formar profesionales capaces de comprender y abordar los desafíos ambientales y la gestión sostenible de recursos naturales, capaces de evaluar y mitigar impactos ambientales en diversos contextos, como la industria, la agricultura, el gobierno y la comunidad y que tomen decisiones informadas y responsables en relación con el medio ambiente y los recursos naturales, aportando al desarrollo de estrategias y políticas ambientales que fomenten la conservación y el uso sostenible de los recursos naturales.",,Online,Grado,,https://online.uees.edu.ec/grado/gestion-ambiental?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/GESTIO%CC%81N%20AMBIENTAL.pdf,GTM-58CRP56,Gestión Ambiental
gestion-comercial,Gestion Comercial,RPC-SO-32-No.498-2022,/informacion/grado/gestion-comercial/images/background.jpg,Licenciado/a en Gestión Comercial,,"El objetivo general de la carrera de Gestión Comercial es dotar de conocimientos y desarrollar habilidades en los estudiantes para que puedan resolver creativamente problemas y tomar decisiones en el ámbito comercial orientados en el desarrollo sostenible de las organizaciones. El profesional será capaz de gestionar, modelar y desarrollar soluciones integrales a problemas vinculados a su disciplina a través de sólidos fundamentos teóricos y prácticos que conlleve a visualizar nuevos enfoques para expandir el desarrollo de las ciencias.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/gestion-comercial?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/GESTIO%CC%81N%20COMERCIAL.pdf,GTM-58CRP56,Gestión Comercial
gestion-de-medios-digitales,Gestion de medios digitales,RPC-SO-26-No.428-2023,/informacion/grado/gestion-de-medios-digitales/images/background.jpg,Licenciado/a en Gestión de Medios Digitales,,"La carrera Licenciatura en Gestión de Medios Digitales prepara profesionales que sean capaces de gestionar de manera autónoma, eficiente y creativa, la realización de contenidos de interés para las diferentes audiencias. Reconoce las etapas de la producción a fin de tener la capacidad de desarrollar proyectos audiovisuales en plataformas multimedia, para medios digitales.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/gestion-de-medios-digitales?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/GESTION DE MEDIOS DIGITALES.pdf,GTM-58CRP56,Gestión De Medios Digitales
gestion-del-talento-humano,Gestion de talento Humano,RPC-SO-25-No.399-2023,/informacion/grado/gestion-del-talento-humano/images/background.jpg,Licenciado/a en Gestión del Talento Humano,,"Formar profesionales altamente capacitados y comprometidos con la optimización del recurso más valioso de una organización: su capital humano. La Gestión del Talento Humano se enfoca en la administración estratégica de las personas dentro de una empresa, buscando maximizar su desempeño y contribuir al logro de los objetivos organizacionales.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/gestion-del-talento-humano?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/GESTIO%CC%81N%20DEL%20TALENTO%20HUMANO.pdf,GTM-58CRP56,Gestión De Talento Humano
internet-de-las-cosas,Internet de las Cosas,RPC-SO-26-No.428-2023,/informacion/grado/internet-de-las-cosas/images/background.jpg,Ingeniero en Internet de las Cosas,,"Formar profesionales que tengan un sólido conocimiento técnico, habilidades de programación y análisis de datos, pero también una comprensión ética y social de la tecnología. Esta formación incluye aspectos técnicos, empresariales y éticos para que los graduados puedan abordar los desafíos y oportunidades en el campo de la IoT de manera integral y responsable.",,Online,Grado,,https://online.uees.edu.ec/grado/internet-de-las-cosas?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/INTERNET%20DE%20LAS%20COSAS.pdf,GTM-58CRP56,Internet De Las Cosas
logistica-y-transporte,Logística y Transporte,RPC-SO-38-No.659-2023,/informacion/grado/logistica-y-transporte/images/background.jpg,Ingeniero/a en Logística y Transporte,,"La carrera de Logística y Transporte es formar profesionales capacitados para planificar, gestionar y optimizar eficientemente los procesos de movimiento, almacenamiento y distribución de bienes y servicios. Los graduados de esta carrera estarán preparados para coordinar redes de transporte, gestionar inventarios, reducir costos logísticos y mejorar la eficiencia en la cadena de suministro, contribuyendo así al funcionamiento efectivo de empresas y organizaciones en diversos sectores.",,Online,Grado,,https://online.uees.edu.ec/grado/logistica-y-transporte?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/LOGI%CC%81STICA%20Y%20TRANSPORTE.pdf,GTM-58CRP56,Logística Y Transporte
marketing,Marketing,RPC-SO-28-No.451-2018RPC-SO-03-No.077-2021,/informacion/grado/marketing/images/background.jpg,Licenciado en Marketing,,"La licenciatura en Marketing de la UEES está enfocada en formar futuros profesionales con el perfil adecuado para integrarse al ambiente empresarial, sea público, privado o sin fines de lucro, optando por cargos de mandos gerenciales con elementos que desarrollan el emprendimiento y dan iniciativas de actividades corporativas.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/marketing-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/MARKETING.pdf,GTM-58CRP56,Marketing
negocios-digitales,Negocios Digitales,RPC-SO-25-No.399-2023,/informacion/grado/negocios-digitales/images/background.jpg,Licenciado/a en Negocios Digitales,,"Formar licenciados en negocios digitales con sólida comprensión de los principios fundamentales de los negocios en el entorno digital, con habilidades avanzadas en el uso de las tecnologías, herramientas y aplicaciones de gestión empresarial, análisis de datos, marketing digital, comercio electrónico y redes sociales.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/negocios-digitales?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/NEGOCIOS%20DIGITALES.pdf,GTM-58CRP56,Negocios Digitales
negocios-internacionales,Gestion de negocios internacionales,RPC-SO-07-No.111-2024,/informacion/grado/negocios-internacionales/images/background.jpg,Licenciado/a en Gestión de Negocios Internacionales,,"El Licenciado en Gestión de Negocios Internacionales de la UEES, será un profesional con las habilidades necesarias para gestionar la organización, donde el liderazgo íntegro, la responsabilidad y la honestidad darán sentido al mejoramiento continuo y a la investigación, de esta manera tendrá una comprensión global y podrá tomar decisiones más efectivas y acertadas.",,Online,Grado,,https://online.uees.edu.ec/grado/negocios-internacionales?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/NEGOCIOS%20INTERNACIONALES.pdf,GTM-58CRP56,Gestión De Negocios Internacionales
produccion-de-contenido-digitales,Producción de contenidos digitales,RPC-SO-46-No.777-2023,/informacion/grado/produccion-de-contenido-digitales/images/background.jpg,Licenciado/a en Producción de Contenidos Digitales,,"La carrera en Producción de Contenidos Digitales forma profesionales en habilidades técnicas y creativas para desarrollar y gestionar contenidos digitales. Fomenta creatividad, innovación, adaptabilidad tecnológica, comunicación, marketing digital y gestión de proyectos multimedia, con enfoque en ética profesional y pensamiento crítico, preparando a los estudiantes para industrias como comunicación, marketing, publicidad y entretenimiento.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/produccion-de-contenido-digitales?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/PRODUCCI%C3%93N%20DE%20CONTENIDOS%20DIGITALES.pdf,GTM-58CRP56,Producción De Contenidos Digitales
psicologia-organizacional,Psicología Organizacional,RPC-SO-16-No.222-2025,/informacion/grado/psicologia-organizacional/images/background.jpg,Licenciado/a en Psicología Organizacional,,"La Licenciatura en Psicología Organizacional tiene por objetivo formar profesionales especializados, capaces de comprender y analizar el comportamiento humano en contextos laborales y organizacionales, a través de una formación teórica y práctica que les permita diseñar y aplicar estrategias que promuevan el bienestar de los colaboradores, la eficiencia de los equipos y optimización de procesos organizativos que contribuyan al desarrollo sostenible y al éxito de las organizaciones por medio de su capital psicológico.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/psicologia-organizacional?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://webservices.uees.edu.ec/grado/mallas/PSICOLOGI%CC%81A-ORGANIZACIONAL.pdf,GTM-58CRP56,Psicología Organizacional
relaciones-publicas-y-produccion-de-eventos,Relaciones públicas y producción de eventos,RPC-SO-26-No.428-2023,/informacion/grado/relaciones-publicas-y-produccion-de-eventos/images/background.jpg,Licenciado/a en Relaciones Públicas y Producción de Eventos,,"El objetivo de la carrera de Relaciones Públicas y Producción de Eventos es ofrecer a los estudiantes una malla que los prepare para enfrentar los diferentes desafíos y cambios que se generan diariamente en su campo a través de conocimientos acorde a lo que el mundo laboral demanda. Se trata de una carrera que introduce a los futuros profesionales en la reflexión, análisis y producción de una gran diversidad de eventos, de diferentes magnitudes, para todo tipo de empresas (públicas y privadas), dirigidos a distintos públicos objetivos con el apoyo de herramientas tecnológicas y estrategias innovadoras de área.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/relaciones-publicas-y-produccion-de-eventos?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/RELACIONES%20P%C3%9ABLICAS%20Y%20PRODUCCI%C3%93N%20DE%20EVENTOS.pdf,GTM-58CRP56,Relaciones Públicas Y Producción De Eventos
seguridad-ciudadana-y-ciencias-policiales,Seguridad Ciudadana y Ciencias Policiales,RPC-SO-34-No.773-2021,/informacion/grado/seguridad-ciudadana-y-ciencias-policiales/images/background.jpg,Licenciado en Seguridad Ciudadana y Ciencias Policiales,,La Licenciatura en Seguridad Ciudadana y Ciencias Policiales forma profesionales cuya participación socialmente activa permita implementar y ejecutar políticas públicas orientadas en la protección de los derechos humanos para alcanzar una vida de calidad previniendo y combatiendo las problemáticas sociales mediante el reconocimiento de las singularidades personales y sectoriales desde el enfoque de la seguridad ciudadana.,,Online,Grado,2 años,https://online.uees.edu.ec/grado/seguridad-ciudadana-y-ciencias-policiales?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,,GTM-58CRP56,Seguridad Ciudadana Y Ciencias Policiales
